Module	Module.Number	Relationship	First.Object.Name	First.Image.Number	First.Object.Number	Second.Object.Name	Second.Image.Number	Second.Object.Number
1	MeasureObjectNeighbors	9	Neighbors	cell	1	1	cell	1	7
2	MeasureObjectNeighbors	9	Neighbors	cell	1	1	cell	1	9
3	MeasureObjectNeighbors	9	Neighbors	cell	1	1	cell	1	8
4	MeasureObjectNeighbors	9	Neighbors	cell	1	1	cell	1	11
5	MeasureObjectNeighbors	9	Neighbors	cell	1	2	cell	1	10
6	MeasureObjectNeighbors	9	Neighbors	cell	1	2	cell	1	8
7	MeasureObjectNeighbors	9	Neighbors	cell	1	2	cell	1	1
8	MeasureObjectNeighbors	9	Neighbors	cell	1	3	cell	1	2
9	MeasureObjectNeighbors	9	Neighbors	cell	1	3	cell	1	8
10	MeasureObjectNeighbors	9	Neighbors	cell	1	4	cell	1	11
11	MeasureObjectNeighbors	9	Neighbors	cell	1	4	cell	1	8
12	MeasureObjectNeighbors	9	Neighbors	cell	1	4	cell	1	3
13	MeasureObjectNeighbors	9	Neighbors	cell	1	4	cell	1	5
14	MeasureObjectNeighbors	9	Neighbors	cell	1	4	cell	1	2
15	MeasureObjectNeighbors	9	Neighbors	cell	1	4	cell	1	6
16	MeasureObjectNeighbors	9	Neighbors	cell	1	4	cell	1	7
17	MeasureObjectNeighbors	9	Neighbors	cell	1	5	cell	1	9
18	MeasureObjectNeighbors	9	Neighbors	cell	1	5	cell	1	6
19	MeasureObjectNeighbors	9	Neighbors	cell	1	5	cell	1	10
20	MeasureObjectNeighbors	9	Neighbors	cell	1	6	cell	1	4
21	MeasureObjectNeighbors	9	Neighbors	cell	1	7	cell	1	9
22	MeasureObjectNeighbors	9	Neighbors	cell	1	7	cell	1	2
23	MeasureObjectNeighbors	9	Neighbors	cell	1	8	cell	1	10
24	MeasureObjectNeighbors	9	Neighbors	cell	1	8	cell	1	11
25	MeasureObjectNeighbors	9	Neighbors	cell	1	8	cell	1	1
26	MeasureObjectNeighbors	9	Neighbors	cell	1	8	cell	1	5
27	MeasureObjectNeighbors	9	Neighbors	cell	1	9	cell	1	6
28	MeasureObjectNeighbors	9	Neighbors	cell	1	9	cell	1	5
29	MeasureObjectNeighbors	9	Neighbors	cell	1	9	cell	1	11
30	MeasureObjectNeighbors	9	Neighbors	cell	1	10	cell	1	3
31	MeasureObjectNeighbors	9	Neighbors	cell	1	10	cell	1	7
32	MeasureObjectNeighbors	9	Neighbors	cell	1	10	cell	1	2
33	MeasureObjectNeighbors	9	Neighbors	cell	1	10	cell	1	8
34	MeasureObjectNeighbors	9	Neighbors	cell	1	10	cell	1	4
35	MeasureObjectNeighbors	9	Neighbors	cell	1	10	cell	1	5
36	MeasureObjectNeighbors	9	Neighbors	cell	1	10	cell	1	1
37	MeasureObjectNeighbors	9	Neighbors	cell	1	11	cell	1	5
38	MeasureObjectNeighbors	9	Neighbors	cell	1	11	cell	1	4
39	MeasureObjectNeighbors	9	Neighbors	cell	1	11	cell	1	10
40	MeasureObjectNeighbors	9	Neighbors	cell	1	11	cell	1	3
41	MeasureObjectNeighbors	9	Neighbors	cell	4	1	cell	4	14
42	MeasureObjectNeighbors	9	Neighbors	cell	4	1	cell	4	2
43	MeasureObjectNeighbors	9	Neighbors	cell	4	2	cell	4	8
44	MeasureObjectNeighbors	9	Neighbors	cell	4	2	cell	4	11
45	MeasureObjectNeighbors	9	Neighbors	cell	4	2	cell	4	1
46	MeasureObjectNeighbors	9	Neighbors	cell	4	3	cell	4	4
47	MeasureObjectNeighbors	9	Neighbors	cell	4	3	cell	4	6
48	MeasureObjectNeighbors	9	Neighbors	cell	4	3	cell	4	10
49	MeasureObjectNeighbors	9	Neighbors	cell	4	4	cell	4	12
50	MeasureObjectNeighbors	9	Neighbors	cell	4	4	cell	4	7
51	MeasureObjectNeighbors	9	Neighbors	cell	4	4	cell	4	11
52	MeasureObjectNeighbors	9	Neighbors	cell	4	5	cell	4	11
53	MeasureObjectNeighbors	9	Neighbors	cell	4	5	cell	4	8
54	MeasureObjectNeighbors	9	Neighbors	cell	4	5	cell	4	1
55	MeasureObjectNeighbors	9	Neighbors	cell	4	5	cell	4	3
56	MeasureObjectNeighbors	9	Neighbors	cell	4	6	cell	4	7
57	MeasureObjectNeighbors	9	Neighbors	cell	4	6	cell	4	2
58	MeasureObjectNeighbors	9	Neighbors	cell	4	6	cell	4	1
59	MeasureObjectNeighbors	9	Neighbors	cell	4	6	cell	4	3
60	MeasureObjectNeighbors	9	Neighbors	cell	4	6	cell	4	10
61	MeasureObjectNeighbors	9	Neighbors	cell	4	6	cell	4	5
62	MeasureObjectNeighbors	9	Neighbors	cell	4	6	cell	4	8
