"","ImageNumber","ObjectNumber","Intensity_MeanIntensity_FullStackFiltered_c1","Intensity_MeanIntensity_FullStackFiltered_c10","Intensity_MeanIntensity_FullStackFiltered_c11","Intensity_MeanIntensity_FullStackFiltered_c12","Intensity_MeanIntensity_FullStackFiltered_c13","Intensity_MeanIntensity_FullStackFiltered_c14","Intensity_MeanIntensity_FullStackFiltered_c15","Intensity_MeanIntensity_FullStackFiltered_c16","Intensity_MeanIntensity_FullStackFiltered_c17","Intensity_MeanIntensity_FullStackFiltered_c18","Intensity_MeanIntensity_FullStackFiltered_c2","Intensity_MeanIntensity_FullStackFiltered_c3","Intensity_MeanIntensity_FullStackFiltered_c4","Intensity_MeanIntensity_FullStackFiltered_c5","Intensity_MeanIntensity_FullStackFiltered_c6","Intensity_MeanIntensity_FullStackFiltered_c7","Intensity_MeanIntensity_FullStackFiltered_c8","Intensity_MeanIntensity_FullStackFiltered_c9"
"1",1,1,2.56041214817156e-05,1.06037270782863e-05,5.7932557696003e-05,2.17247091360011e-05,4.75874581074311e-05,4.29321632925737e-05,2.58627489714299e-06,8.79333465028617e-06,2.32764740742869e-06,4.52598107000024e-05,6.02602051034317e-05,1.34486294651436e-05,5.17254979428598e-06,1.50003944034294e-05,8.01745218114328e-06,2.61213764611442e-05,7.75882469142898e-06,7.50019720171468e-06
"2",1,2,1.7305963854419e-05,1.91668201828512e-05,1.52590218931437e-05,1.30259942990251e-05,3.12623863176602e-05,3.05180437862873e-05,2.60519885980501e-06,4.27996955539395e-06,2.04694196127537e-06,2.45633035353044e-05,6.25247726353203e-05,7.2573396808854e-06,3.90779828970752e-06,6.51299714951254e-06,7.2573396808854e-06,1.37703368303979e-05,9.30428164216076e-06,5.39648335245324e-06
"3",1,3,2.55447329470405e-05,7.68602584247236e-06,3.18744012879001e-05,2.67880606568522e-05,6.09230577807736e-05,4.70203933892427e-05,3.50392354583299e-06,7.2339066752681e-06,2.8257447950266e-06,4.14819335909905e-05,5.09764361022799e-05,1.26593366817192e-05,1.69544687701596e-06,8.47723438507981e-06,7.12087688346704e-06,3.62825631681416e-05,4.52119167204256e-06,9.38147271948832e-06
"4",1,4,2.47050830650897e-05,8.47723438507981e-06,2.10719826143412e-05,1.64700553767265e-05,3.14868705731536e-05,2.66427366388223e-05,4.60192723761475e-06,5.32854732776445e-06,1.93765357373253e-06,4.26283786221156e-05,3.58465911140518e-05,8.47723438507981e-06,5.32854732776445e-06,8.96164777851294e-06,5.32854732776445e-06,1.23525415325449e-05,6.78178750806385e-06,4.84413393433132e-06
"5",1,5,1.90737773664296e-05,5.24528877576813e-06,8.72625314514153e-05,0.000110151064291131,8.58319981489331e-05,2.28885328397155e-05,2.14579995372333e-05,7.77256427682005e-05,2.3842221708037e-06,8.01098649390042e-05,8.44014648464508e-05,1.95506218005903e-05,6.19897764408961e-05,2.86106660496444e-05,3.81475547328591e-06,4.1962310206145e-05,4.76844434160739e-06,1.33516441565007e-05
"6",1,6,1.74740412002129e-05,8.61396397193593e-06,3.07641570426283e-05,1.8212380969236e-05,2.87952509919001e-05,3.49480824004258e-05,1.47667953804616e-06,3.19947233243335e-06,9.84453025364107e-07,3.44558558877437e-05,4.87304247555233e-05,7.62951094657183e-06,4.67615187047951e-06,8.36785071559491e-06,6.15283140852567e-06,1.18134363043693e-05,7.62951094657183e-06,3.93781210145643e-06
"7",1,7,2.44144350290298e-05,7.62951094657183e-06,5.18806744366884e-05,2.74662394076586e-05,5.95101853832602e-05,0.000140383001416922,7.27346710239847e-05,1.16985834514101e-05,7.12087688346704e-06,4.88288700580597e-05,2.13626306504011e-05,1.6784924082458e-05,4.3233895363907e-05,3.56043844173352e-06,8.6467790727814e-06,5.54411128784219e-05,2.54317031552394e-06,6.10360875725746e-06
"8",1,8,2.38542937190284e-05,1.94117936741891e-05,0.000170167066934931,3.18701090173254e-05,3.66989134138898e-05,4.37489678328739e-05,5.50483701208347e-06,1.17822827276173e-05,2.12467393448836e-06,4.89640765811635e-05,2.99385872586996e-05,1.6707663212113e-05,6.26778810674065e-05,3.1097500313875e-05,1.28446196948614e-05,4.46181526242555e-05,2.41440219828222e-06,1.05267935845105e-05
"9",1,9,1.92370548380488e-05,5.75924172620597e-06,2.55900328246884e-05,2.08401427412195e-05,3.14680218029811e-05,2.27400987746071e-05,3.50304393655827e-06,6.82796699498646e-06,2.43431866777778e-06,3.13492745508944e-05,4.5955186557561e-05,9.79664829715449e-06,1.07466263138483e-05,8.66854940233064e-06,7.42170325542006e-06,1.41902966243632e-05,4.57176920533876e-06,5.22487909181573e-06
"10",1,10,2.08743419498205e-05,5.37117570638657e-06,0.000256351567804813,2.84428168088198e-05,2.34378576278687e-05,1.8799114972353e-05,3.41802090406418e-06,7.08018615841866e-06,2.19729915261269e-06,2.40482185035944e-05,2.72220950573683e-05,1.22072175145149e-05,5.12703135609627e-06,5.49324788153172e-06,9.15541313588619e-06,1.41603723168373e-05,2.56351567804813e-06,6.22568093240261e-06
