Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,6,Neighbors,cell,1,1,cell,1,2
MeasureObjectNeighbors,6,Neighbors,cell,1,1,cell,1,4
MeasureObjectNeighbors,6,Neighbors,cell,1,2,cell,1,1
MeasureObjectNeighbors,6,Neighbors,cell,1,2,cell,1,4
MeasureObjectNeighbors,6,Neighbors,cell,1,3,cell,1,5
MeasureObjectNeighbors,6,Neighbors,cell,1,4,cell,1,1
MeasureObjectNeighbors,6,Neighbors,cell,1,4,cell,1,2
MeasureObjectNeighbors,6,Neighbors,cell,1,5,cell,1,3
MeasureObjectNeighbors,6,Neighbors,cell,1,5,cell,1,6
MeasureObjectNeighbors,6,Neighbors,cell,1,5,cell,1,7
MeasureObjectNeighbors,6,Neighbors,cell,1,6,cell,1,5
MeasureObjectNeighbors,6,Neighbors,cell,1,6,cell,1,7
MeasureObjectNeighbors,6,Neighbors,cell,1,7,cell,1,5
MeasureObjectNeighbors,6,Neighbors,cell,1,7,cell,1,6
MeasureObjectNeighbors,6,Neighbors,cell,1,7,cell,1,8
MeasureObjectNeighbors,6,Neighbors,cell,1,7,cell,1,9
MeasureObjectNeighbors,6,Neighbors,cell,1,8,cell,1,7
MeasureObjectNeighbors,6,Neighbors,cell,1,8,cell,1,9
MeasureObjectNeighbors,6,Neighbors,cell,1,9,cell,1,7
MeasureObjectNeighbors,6,Neighbors,cell,1,9,cell,1,8
MeasureObjectNeighbors,6,Neighbors,cell,5,1,cell,5,2
MeasureObjectNeighbors,6,Neighbors,cell,5,1,cell,5,4
MeasureObjectNeighbors,6,Neighbors,cell,5,2,cell,5,1
MeasureObjectNeighbors,6,Neighbors,cell,5,2,cell,5,3
MeasureObjectNeighbors,6,Neighbors,cell,5,2,cell,5,4
MeasureObjectNeighbors,6,Neighbors,cell,5,2,cell,5,5
MeasureObjectNeighbors,6,Neighbors,cell,5,3,cell,5,2
MeasureObjectNeighbors,6,Neighbors,cell,5,3,cell,5,4
