column_name,category,image_name,object_name,feature_name,channel,parameters,channel_id,data_type
Location_Center_X,Location,,,Center_X,,,,float
Location_Center_Y,Location,,,Center_Y,,,,float
Location_Center_Z,Location,,,Center_Z,,,,float
Number_Object_Number,ID,,,Number_Object_Number,,,,integer
Neighbors_NumberOfNeighbors_8,Neighbors,,,NumberOfNeighbors,,8,,integer
Neighbors_PercentTouching_8,Neighbors,,,PercentTouching,,8,,float
Neighbors_FirstClosestObjectNumber_8,Neighbors,,,FirstClosestObjectNumber,,8,,integer
Neighbors_FirstClosestDistance_8,Neighbors,,,FirstClosestDistance,,8,,float
Neighbors_SecondClosestObjectNumber_8,Neighbors,,,SecondClosestObjectNumber,,8,,integer
Neighbors_SecondClosestDistance_8,Neighbors,,,SecondClosestDistance,,8,,float
Neighbors_AngleBetweenNeighbors_8,Neighbors,,,AngleBetweenNeighbors,,8,,float
Intensity_IntegratedIntensity_FullStack_c1,Intensity,FullStack,,IntegratedIntensity,1,,Sm147,float
Intensity_MeanIntensity_FullStack_c1,Intensity,FullStack,,MeanIntensity,1,,Sm147,float
Intensity_StdIntensity_FullStack_c1,Intensity,FullStack,,StdIntensity,1,,Sm147,float
Intensity_MinIntensity_FullStack_c1,Intensity,FullStack,,MinIntensity,1,,Sm147,float
Intensity_MaxIntensity_FullStack_c1,Intensity,FullStack,,MaxIntensity,1,,Sm147,float
Intensity_IntegratedIntensityEdge_FullStack_c1,Intensity,FullStack,,IntegratedIntensityEdge,1,,Sm147,float
Intensity_MeanIntensityEdge_FullStack_c1,Intensity,FullStack,,MeanIntensityEdge,1,,Sm147,float
Intensity_StdIntensityEdge_FullStack_c1,Intensity,FullStack,,StdIntensityEdge,1,,Sm147,float
Intensity_MinIntensityEdge_FullStack_c1,Intensity,FullStack,,MinIntensityEdge,1,,Sm147,float
Intensity_MaxIntensityEdge_FullStack_c1,Intensity,FullStack,,MaxIntensityEdge,1,,Sm147,float
Intensity_MassDisplacement_FullStack_c1,Intensity,FullStack,,MassDisplacement,1,,Sm147,float
Intensity_LowerQuartileIntensity_FullStack_c1,Intensity,FullStack,,LowerQuartileIntensity,1,,Sm147,float
Intensity_MedianIntensity_FullStack_c1,Intensity,FullStack,,MedianIntensity,1,,Sm147,float
Intensity_MADIntensity_FullStack_c1,Intensity,FullStack,,MADIntensity,1,,Sm147,float
Intensity_UpperQuartileIntensity_FullStack_c1,Intensity,FullStack,,UpperQuartileIntensity,1,,Sm147,float
Location_CenterMassIntensity_X_FullStack_c1,Location,FullStack,,CenterMassIntensity_X,1,,Sm147,float
Location_CenterMassIntensity_Y_FullStack_c1,Location,FullStack,,CenterMassIntensity_Y,1,,Sm147,float
Location_CenterMassIntensity_Z_FullStack_c1,Location,FullStack,,CenterMassIntensity_Z,1,,Sm147,float
Location_MaxIntensity_X_FullStack_c1,Location,FullStack,,MaxIntensity_X,1,,Sm147,float
Location_MaxIntensity_Y_FullStack_c1,Location,FullStack,,MaxIntensity_Y,1,,Sm147,float
Location_MaxIntensity_Z_FullStack_c1,Location,FullStack,,MaxIntensity_Z,1,,Sm147,float
Intensity_IntegratedIntensity_FullStack_c2,Intensity,FullStack,,IntegratedIntensity,2,,Yb172,float
Intensity_MeanIntensity_FullStack_c2,Intensity,FullStack,,MeanIntensity,2,,Yb172,float
Intensity_StdIntensity_FullStack_c2,Intensity,FullStack,,StdIntensity,2,,Yb172,float
Intensity_MinIntensity_FullStack_c2,Intensity,FullStack,,MinIntensity,2,,Yb172,float
Intensity_MaxIntensity_FullStack_c2,Intensity,FullStack,,MaxIntensity,2,,Yb172,float
Intensity_IntegratedIntensityEdge_FullStack_c2,Intensity,FullStack,,IntegratedIntensityEdge,2,,Yb172,float
Intensity_MeanIntensityEdge_FullStack_c2,Intensity,FullStack,,MeanIntensityEdge,2,,Yb172,float
Intensity_StdIntensityEdge_FullStack_c2,Intensity,FullStack,,StdIntensityEdge,2,,Yb172,float
Intensity_MinIntensityEdge_FullStack_c2,Intensity,FullStack,,MinIntensityEdge,2,,Yb172,float
Intensity_MaxIntensityEdge_FullStack_c2,Intensity,FullStack,,MaxIntensityEdge,2,,Yb172,float
Intensity_MassDisplacement_FullStack_c2,Intensity,FullStack,,MassDisplacement,2,,Yb172,float
Intensity_LowerQuartileIntensity_FullStack_c2,Intensity,FullStack,,LowerQuartileIntensity,2,,Yb172,float
Intensity_MedianIntensity_FullStack_c2,Intensity,FullStack,,MedianIntensity,2,,Yb172,float
Intensity_MADIntensity_FullStack_c2,Intensity,FullStack,,MADIntensity,2,,Yb172,float
Intensity_UpperQuartileIntensity_FullStack_c2,Intensity,FullStack,,UpperQuartileIntensity,2,,Yb172,float
Location_CenterMassIntensity_X_FullStack_c2,Location,FullStack,,CenterMassIntensity_X,2,,Yb172,float
Location_CenterMassIntensity_Y_FullStack_c2,Location,FullStack,,CenterMassIntensity_Y,2,,Yb172,float
Location_CenterMassIntensity_Z_FullStack_c2,Location,FullStack,,CenterMassIntensity_Z,2,,Yb172,float
Location_MaxIntensity_X_FullStack_c2,Location,FullStack,,MaxIntensity_X,2,,Yb172,float
Location_MaxIntensity_Y_FullStack_c2,Location,FullStack,,MaxIntensity_Y,2,,Yb172,float
Location_MaxIntensity_Z_FullStack_c2,Location,FullStack,,MaxIntensity_Z,2,,Yb172,float
Intensity_IntegratedIntensity_FullStack_c3,Intensity,FullStack,,IntegratedIntensity,3,,Pr141,float
Intensity_MeanIntensity_FullStack_c3,Intensity,FullStack,,MeanIntensity,3,,Pr141,float
Intensity_StdIntensity_FullStack_c3,Intensity,FullStack,,StdIntensity,3,,Pr141,float
Intensity_MinIntensity_FullStack_c3,Intensity,FullStack,,MinIntensity,3,,Pr141,float
Intensity_MaxIntensity_FullStack_c3,Intensity,FullStack,,MaxIntensity,3,,Pr141,float
Intensity_IntegratedIntensityEdge_FullStack_c3,Intensity,FullStack,,IntegratedIntensityEdge,3,,Pr141,float
