Start_push	End_push	Pushes_duration	X	Y	Z	107Ag(Ag107Di)	Cytoker_651((3356))Pr141(Pr141Di)	Laminin_681((851))Sm147(Sm147Di)	YBX1_2987((3532))Eu153(Eu153Di)	H3K27Ac_1977((2242))Yb172(Yb172Di)
1708	2091	384	0	0	0	0.000	0.000	0.000	0.000	0.000
2094	2477	384	1	0	1	0.000	0.000	0.000	0.000	0.000
2479	2862	384	2	0	2	0.000	0.000	0.000	0.000	0.000
2864	3247	384	3	0	3	0.000	0.000	0.000	0.000	0.000
3250	3633	384	4	0	4	0.000	0.000	4.823	0.000	0.000
3635	4018	384	5	0	5	0.000	0.000	13.362	0.000	1.000
4020	4403	384	6	0	6	0.000	0.000	34.946	0.000	2.277
4406	4789	384	7	0	7	0.000	0.000	39.773	0.000	0.000
4791	5174	384	8	0	8	0.000	0.000	33.454	0.000	0.000
5176	5559	384	9	0	9	0.000	0.000	38.149	2.272	3.009
5562	5945	384	10	0	10	0.000	0.000	45.814	0.000	0.000
5947	6330	384	11	0	11	0.000	0.000	59.784	0.000	2.277
6332	6715	384	12	0	12	0.000	0.000	73.764	0.000	0.000
6717	7100	384	13	0	13	0.000	0.000	84.296	0.000	2.000
7103	7486	384	14	0	14	0.000	0.000	73.375	1.000	1.536
7488	7871	384	15	0	15	0.000	0.000	64.670	0.000	2.335
7873	8256	384	16	0	16	1.000	0.000	72.834	0.000	3.000
8259	8642	384	17	0	17	0.000	0.000	50.700	0.000	1.373
8644	9027	384	18	0	18	0.000	0.000	44.920	0.000	0.000
9029	9412	384	19	0	19	1.000	0.000	52.912	0.000	3.000
9415	9798	384	20	0	20	0.000	0.000	64.265	0.000	4.210
9800	10183	384	21	0	21	0.000	0.000	38.097	0.000	3.579
10185	10568	384	22	0	22	0.000	0.000	44.981	0.000	1.000
10571	10954	384	23	0	23	0.000	0.000	13.669	0.000	4.086
10956	11339	384	24	0	24	0.000	0.000	2.009	0.000	1.875
11341	11724	384	25	0	25	0.000	0.000	0.000	0.000	0.000
11727	12110	384	26	0	26	0.000	0.000	0.000	0.000	0.000
12112	12495	384	27	0	27	0.000	0.000	0.000	0.000	0.000
12497	12880	384	28	0	28	0.000	0.000	4.310	0.000	1.000
12883	13266	384	29	0	29	0.000	0.000	14.798	0.000	1.000
13268	13651	384	30	0	30	1.107	0.000	30.767	0.000	1.000
13653	14036	384	31	0	31	0.000	0.000	49.903	0.000	8.392
14039	14422	384	32	0	32	0.000	0.000	54.732	0.000	3.851
14424	14807	384	33	0	33	0.000	0.000	58.397	0.000	2.679
14809	15192	384	34	0	34	0.000	0.000	54.763	0.000	3.139
15195	15578	384	35	0	35	0.000	0.000	43.037	0.000	2.038
15580	15963	384	36	0	36	0.000	0.000	13.119	0.000	1.000
15965	16348	384	37	0	37	0.000	0.000	2.000	0.000	0.000
16350	16733	384	38	0	38	0.000	0.000	1.135	0.000	0.000
16736	17119	384	39	0	39	0.000	0.000	1.000	0.000	0.000
17121	17504	384	40	0	40	0.000	0.000	0.000	1.000	0.000
17506	17889	384	41	0	41	0.000	0.000	0.000	1.000	1.273
17892	18275	384	42	0	42	0.000	0.000	0.000	1.952	2.411
18277	18660	384	43	0	43	0.000	0.000	0.000	0.000	1.239
18662	19045	384	44	0	44	0.000	0.000	0.000	1.000	2.139
19048	19431	384	45	0	45	0.000	0.000	0.000	0.000	0.000
19433	19816	384	46	0	46	0.000	0.000	0.000	0.000	0.000
19818	20201	384	47	0	47	0.000	0.000	0.000	5.519	1.775
20204	20587	384	48	0	48	0.000	0.000	0.000	1.000	0.000
20589	20972	384	49	0	49	0.000	1.000	0.000	1.536	0.000
20974	21357	384	50	0	50	0.000	0.000	0.000	0.000	1.273
21360	21743	384	51	0	51	0.000	1.397	0.000	0.000	1.000
21745	22128	384	52	0	52	0.000	0.000	0.000	0.000	0.000
38022	38405	384	0	1	53	0.000	0.000	0.000	0.000	0.000
38407	38790	384	1	1	54	0.000	0.000	0.000	0.000	0.000
38792	39175	384	2	1	55	0.000	0.000	0.000	0.000	0.000
39178	39561	384	3	1	56	0.000	0.000	0.000	0.000	0.000
39563	39946	384	4	1	57	0.000	0.000	0.000	0.000	0.000
39948	40331	384	5	1	58	0.000	0.000	6.886	0.000	0.000
40334	40717	384	6	1	59	0.000	0.000	13.749	0.000	0.000
40719	41102	384	7	1	60	0.000	0.000	12.155	0.000	0.000
41104	41487	384	8	1	61	0.000	0.000	22.715	0.000	1.000
41490	41873	384	9	1	62	0.000	0.000	33.163	0.000	1.000
41875	42258	384	10	1	63	0.000	0.000	30.710	0.000	3.172
42260	42643	384	11	1	64	0.000	0.000	21.176	1.000	3.646
42646	43029	384	12	1	65	0.000	0.000	22.357	0.000	0.000
43031	43414	384	13	1	66	0.000	0.000	43.338	1.248	0.000
43416	43799	384	14	1	67	0.000	0.000	37.610	0.000	1.000
43802	44185	384	15	1	68	0.000	0.000	25.248	0.000	0.000
44187	44570	384	16	1	69	1.532	0.000	31.950	0.000	0.000
44572	44955	384	17	1	70	0.000	0.000	28.389	0.000	0.000
44958	45341	384	18	1	71	0.000	0.000	30.435	0.000	0.000
45343	45726	384	19	1	72	0.000	0.000	26.489	0.000	1.340
45728	46111	384	20	1	73	0.000	0.000	22.365	0.000	0.000
46114	46497	384	21	1	74	0.000	0.000	26.715	0.000	1.000
46499	46882	384	22	1	75	0.000	0.000	23.130	0.000	0.000
46884	47267	384	23	1	76	0.000	0.000	12.376	0.000	1.507
47269	47652	384	24	1	77	0.000	0.000	1.040	0.000	0.000
47655	48038	384	25	1	78	0.000	0.000	0.000	0.000	0.000
48040	48423	384	26	1	79	0.000	0.000	0.000	0.000	0.000
48425	48808	384	27	1	80	0.000	0.000	0.000	0.000	0.000
48811	49194	384	28	1	81	1.000	0.000	0.000	0.000	0.000
49196	49579	384	29	1	82	0.000	0.000	1.040	0.000	1.206
49581	49964	384	30	1	83	0.000	0.000	1.000	0.000	0.000
49967	50350	384	31	1	84	0.000	0.000	13.078	0.000	0.000
50352	50735	384	32	1	85	0.000	0.000	22.715	0.000	2.000
50737	51120	384	33	1	86	0.000	1.000	20.033	0.000	0.000
51123	51506	384	34	1	87	0.000	0.000	49.591	0.000	6.688
51508	51891	384	35	1	88	0.000	0.000	4.459	0.000	1.000
51893	52276	384	36	1	89	0.000	0.000	3.112	0.000	0.000
52279	52662	384	37	1	90	0.000	0.000	0.000	0.000	0.000
52664	53047	384	38	1	91	0.000	0.000	0.000	0.000	0.000
53049	53432	384	39	1	92	0.000	0.000	0.000	0.000	0.000
53435	53818	384	40	1	93	1.000	0.000	0.000	1.000	0.000
53820	54203	384	41	1	94	0.000	0.000	0.000	1.000	1.000
54205	54588	384	42	1	95	0.000	0.000	0.000	0.000	1.000
54591	54974	384	43	1	96	0.000	0.000	1.355	1.000	0.000
54976	55359	384	44	1	97	0.000	0.000	0.000	2.000	1.000
