Object1,Object2
1,2
1,3
2,1
2,3
2,4
2,5
2,7
2,8
3,1
3,2
3,5
3,6
3,7
4,2
4,8
4,10
4,12
4,13
5,2
5,3
5,6
5,7
5,8
6,3
6,5
6,7
6,9
6,11
6,14
7,2
7,3
7,5
7,6
7,8
8,2
8,4
8,5
8,7
8,10
9,6
9,11
10,4
10,8
10,12
10,13
11,6
11,9
11,14
11,16
12,4
12,10
12,13
13,4
13,10
13,12
13,21
14,6
14,11
14,15
14,16
14,17
15,14
15,17
15,18
15,19
15,22
16,11
16,14
16,17
17,14
17,15
17,16
18,15
18,19
18,20
18,22
19,15
19,18
19,20
19,21
19,22
19,23
20,18
20,19
20,22
21,13
21,19
21,23
21,24
21,25
22,15
22,18
22,19
22,20
22,23
22,25
22,26
23,19
23,21
23,22
23,24
23,25
24,21
24,23
24,25
25,21
25,22
25,23
25,24
25,26
26,22
26,25
