Object1,Object2
1,2
1,3
1,4
1,6
1,7
2,1
2,4
2,5
3,1
3,4
3,6
3,7
4,1
4,2
4,3
4,5
4,6
4,8
4,9
5,2
5,4
5,8
5,9
5,10
6,1
6,3
6,4
6,7
6,8
6,16
7,1
7,3
7,6
7,8
7,11
7,13
7,14
7,16
8,4
8,5
8,6
8,7
8,9
8,11
8,12
8,16
9,4
9,5
9,8
9,10
9,12
9,16
10,5
10,9
10,12
10,15
10,19
11,7
11,8
11,13
11,14
11,16
12,8
12,9
12,10
12,15
12,16
13,7
13,11
13,14
13,16
14,7
14,11
14,13
14,16
14,18
15,10
15,12
15,17
15,19
15,21
15,22
15,23
16,6
16,7
16,8
16,9
16,11
16,12
16,13
16,14
16,18
16,20
17,15
17,19
17,21
18,14
18,16
18,20
19,10
19,15
19,17
19,21
20,16
20,18
20,22
21,15
21,17
21,19
21,22
21,23
22,15
22,20
22,21
22,23
23,15
23,21
23,22
