image,width_px,height_px,num_channels,source_file,recovery_file,recovered,acquisition_id,acquisition_description,acquisition_start_x_um,acquisition_start_y_um,acquisition_end_x_um,acquisition_end_y_um,acquisition_width_um,acquisition_height_um
20210305_NE_mockData5_001.tiff,57,49,5,20210305_NE_mockData5.mcd,20210305_NE_mockData5_ROI_001_1.txt,False,1,ROI_001,34490.0,12435.0,34547.0,12386.0,57.0,49.0
20210305_NE_mockData5_002.tiff,93,69,5,20210305_NE_mockData5.mcd,20210305_NE_mockData5_ROI_002_2.txt,False,2,ROI_002,34215.0,12309.0,34308.0,12240.0,93.0,69.0
20210305_NE_mockData5_003.tiff,91,81,5,20210305_NE_mockData5.mcd,20210305_NE_mockData5_ROI_003_3.txt,False,3,ROI_003,35299.0,12843.0,35390.0,12762.0,91.0,81.0
20210305_NE_mockData4_001.tiff,35,29,5,20210305_NE_mockData4.mcd,20210305_NE_mockData4_ROI_001_1.txt,False,1,ROI_001,32131.0,12886.0,32166.0,12857.0,35.0,29.0
20210305_NE_mockData4_002.tiff,53,45,5,20210305_NE_mockData4.mcd,20210305_NE_mockData4_ROI_002_2.txt,False,2,ROI_002,32453.0,13194.0,32506.0,13149.0,53.0,45.0
20210305_NE_mockData4_003.tiff,82,54,5,20210305_NE_mockData4.mcd,20210305_NE_mockData4_ROI_003_3.txt,False,3,ROI_003,32373.0,13083.0,32455.0,13029.0,82.0,54.0
20210305_NE_mockData3_001.tiff,64,50,5,20210305_NE_mockData3.mcd,20210305_NE_mockData3_ROI_001_1.txt,False,1,ROI_001,17057.0,13485.0,17121.0,13435.0,64.0,50.0
20210305_NE_mockData3_002.tiff,59,54,5,20210305_NE_mockData3.mcd,20210305_NE_mockData3_ROI_002_2.txt,False,2,ROI_002,17073.0,13741.0,17132.0,13687.0,59.0,54.0
20210305_NE_mockData3_003.tiff,79,46,5,20210305_NE_mockData3.mcd,20210305_NE_mockData3_ROI_003_3.txt,False,3,ROI_003,17122.0,13504.0,17201.0,13458.0,79.0,46.0
20210305_NE_mockData2_001.tiff,103,87,5,20210305_NE_mockData2.mcd,20210305_NE_mockData2_ROI_001_1.txt,False,1,ROI_001,15242.0,12800.0,15345.0,12713.0,103.0,87.0
20210305_NE_mockData2_002.tiff,59,61,5,20210305_NE_mockData2.mcd,20210305_NE_mockData2_ROI_002_2.txt,False,2,ROI_002,15694.0,13247.0,15753.0,13186.0,59.0,61.0
20210305_NE_mockData2_003.tiff,53,54,5,20210305_NE_mockData2.mcd,20210305_NE_mockData2_ROI_003_3.txt,False,3,ROI_003,15919.0,13292.0,15972.0,13238.0,53.0,54.0
20210305_NE_mockData1_001.tiff,60,60,5,20210305_NE_mockData1.mcd,20210305_NE_mockData1_ROI_001_1.txt,False,1,ROI_001,31080.0,13449.0,31140.0,13389.0,60.0,60.0
20210305_NE_mockData1_002.tiff,64,51,5,20210305_NE_mockData1.mcd,20210305_NE_mockData1_ROI_002_2.txt,False,2,ROI_002,31884.0,14128.0,31948.0,14077.0,64.0,51.0
20210305_NE_mockData1_003.tiff,50,43,5,20210305_NE_mockData1.mcd,20210305_NE_mockData1_ROI_003_3.txt,False,3,ROI_003,31648.0,13349.0,31698.0,13306.0,50.0,43.0
