Object,Neighbor,Distance
1,2,1.0
1,6,1.0
2,1,1.0
2,3,1.0
2,4,1.0
2,6,1.0
2,7,1.0
3,2,1.0
3,4,1.0
3,5,1.0
4,2,1.0
4,3,1.0
4,5,1.0
4,7,1.0
4,8,2.0
5,3,1.0
5,4,1.0
5,7,2.23606797749979
5,8,1.0
5,10,3.0
6,1,1.0
6,2,1.0
6,4,4.0
6,7,1.0
7,2,1.0
7,4,1.0
7,5,2.23606797749979
7,6,1.0
7,8,3.605551275463989
7,9,1.0
7,11,1.0
8,4,2.0
8,5,1.0
8,7,3.605551275463989
8,10,1.0
8,12,2.23606797749979
8,13,1.0
9,7,1.0
9,11,1.0
10,5,3.0
10,8,1.0
10,13,1.0
11,7,1.0
11,9,1.0
11,12,1.0
12,8,2.23606797749979
12,11,1.0
12,13,1.0
13,8,1.0
13,10,1.0
13,12,1.0
