Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,14,0.9285714285714286,1.8571428571428572,5.449353665897314,3.145851452097728,0.8165399631383785
2,15,0.8666666666666667,14.333333333333334,5.963268946242256,3.2213663642250534,0.8415357530872689
3,20,1.0,24.05,7.322752910766844,3.5689339876012993,0.873192212109006
4,26,1.7692307692307692,31.76923076923077,6.777193426869851,5.11973252124675,0.6552230167837274
5,55,3.1636363636363636,7.527272727272727,9.384151481909464,7.5610910362718995,0.592283206527048
6,57,4.421052631578948,21.333333333333332,12.059201275232649,6.234869880795507,0.8559722333398617
7,42,6.619047619047619,31.047619047619047,9.45896569145884,5.621233212773251,0.8042614146835391
8,50,8.62,12.32,8.352956864028426,7.6863067612267715,0.3914722206076646
9,35,9.971428571428572,18.885714285714286,7.313366134834392,6.178863103131937,0.5349674640908675
10,63,11.682539682539682,2.365079365079365,12.538231489474228,7.324677589084138,0.8116187610096801
11,64,12.875,36.921875,10.752934440426754,8.01727788403796,0.6664052065674341
12,50,14.9,7.7,9.032018465120737,7.067010856487915,0.6227262126959229
13,63,16.095238095238095,16.58730158730159,10.530433673208497,7.643964838392365,0.687807968028821
14,35,18.228571428571428,40.34285714285714,7.568809277702379,6.075415799611953,0.5963950096767545
15,16,19.3125,2.5,6.379043545017158,3.278002966864877,0.8578677060860016
16,38,20.210526315789473,11.68421052631579,8.261291922749175,6.032720368697496,0.6831914116802753
17,20,21.9,36.95,5.215361924162119,4.79583152331272,0.39295262399668773
18,44,24.522727272727273,20.15909090909091,9.734654018868964,5.7291611944875855,0.8084734901153281
19,44,25.113636363636363,10.522727272727273,10.170119495778806,5.814493861297594,0.820446534064707
20,89,27.696629213483146,29.089887640449437,11.887226828644643,9.557154983744288,0.5946492449596099
21,79,29.164556962025316,38.075949367088604,11.563421523423898,8.682279598952071,0.6604841184503141
22,55,30.618181818181817,16.69090909090909,8.715539466978523,7.992953501918878,0.39867511412220147
23,51,34.627450980392155,25.03921568627451,11.262326245183518,6.07252020069131,0.842184917542763
24,19,36.421052631578945,36.89473684210526,5.544698233777089,4.2956952169149805,0.6322808964466018
25,26,36.69230769230769,31.807692307692307,6.201736729460423,5.495560338305155,0.4634320131035735
