Object,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
1,56,10.071428571428571,32.892857142857146,10.087136967711317,7.42477062373242,0.6769127865476124
2,45,13.866666666666667,39.266666666666666,8.775587728312285,6.8871985935603215,0.6197321773370477
3,113,15.017699115044248,25.849557522123895,12.312190152874157,12.0400659656251,0.2090825843774012
4,86,19.848837209302324,36.83720930232558,14.639751999464156,7.820940809964862,0.845341493686178
5,37,24.135135135135137,46.45945945945946,8.950493207340493,5.511896362719234,0.7878865573774205
6,55,24.98181818181818,27.236363636363638,10.176960112016708,7.373375954138338,0.6892574116798655
7,104,26.03846153846154,18.932692307692307,15.492995900200853,8.736845120050152,0.8258278846257594
8,48,25.416666666666668,34.791666666666664,10.593808101237165,6.2954222277201515,0.8042767746346944
9,40,31.15,31.825,7.711028389221228,6.700003073180212,0.4950125917792066
10,35,31.2,24.485714285714284,9.387095027792109,5.040893790242636,0.8435806313084333
11,88,30.204545454545453,40.79545454545455,12.981981905120062,9.607867662585013,0.6725050679512644
12,117,36.324786324786324,20.376068376068375,19.61220022691937,8.172857539434332,0.9090334590922011
13,72,38.90277777777778,32.125,10.320778155489032,9.508608574897407,0.3888351862832225
14,63,38.07936507936508,40.53968253968254,10.100903317663699,8.410390284620973,0.5538184655336588
