Start_push	End_push	Pushes_duration	X	Y	Z	161Dy(Dy161Di)	162Dy(Dy162Di)	163Dy(Dy163Di)	164Dy(Dy164Di)
1570	1953	384	0	0	0	85.974	326.399	22988.512	518.524
1955	2338	384	1	0	1	47.968	199.114	14980.525	322.065
2341	2724	384	2	0	2	74.168	227.546	16077.835	385.138
2726	3109	384	3	0	3	98.34	239.231	20599.123	484.322
3111	3494	384	4	0	4	45.534	171.611	14378.948	353.81
3497	3880	384	5	0	5	52.639	152.686	12509.896	287.968
3882	4265	384	6	0	6	47.841	154.725	12874.781	276.302
4267	4650	384	7	0	7	23.297	119.428	8999.87	193.516
4653	5036	384	8	0	8	36.26	115.271	9419.905	184.424
5038	5421	384	9	0	9	17.763	68.185	5929.102	111.432
5423	5806	384	10	0	10	13.796	82.054	4722.092	104.86
5808	6191	384	11	0	11	5.983	47.648	4363.097	76.462
6194	6577	384	12	0	12	20.195	58.885	6557.47	147.231
6579	6962	384	13	0	13	21.801	68.347	6622.988	141.753
6964	7347	384	14	0	14	23.409	60.705	5223.134	134.283
7350	7733	384	15	0	15	25.846	63.415	5420.848	119.262
7735	8118	384	16	0	16	15.13	58.185	4980.359	87.176
8120	8503	384	17	0	17	13.04	76.124	4756.622	106.635
8506	8889	384	18	0	18	12.155	48.896	4416.532	85.638
8891	9274	384	19	0	19	15.666	40.034	3729.069	63.351
9276	9659	384	20	0	20	18.232	45.371	3923.06	78.777
9662	10045	384	21	0	21	19.521	50.303	3887.288	85.402
10047	10430	384	22	0	22	11.364	41.273	3554.442	71.748
10432	10815	384	23	0	23	25.36	59.4	4765.885	88.23
10817	11200	384	24	0	24	16.207	65.667	5197.841	88.528
11203	11586	384	25	0	25	11.062	63.627	4334.186	75.148
11588	11971	384	26	0	26	9.549	72.074	5013.151	82.189
11973	12356	384	27	0	27	25.322	65.155	4863.125	83.304
12359	12742	384	28	0	28	11.436	62.525	5054.384	86.904
12744	13127	384	29	0	29	30.202	79.254	6074.812	106.865
13129	13512	384	30	0	30	19.342	59.032	4847.098	120.245
13515	13898	384	31	0	31	26.247	61.757	5403.639	111.384
13900	14283	384	32	0	32	14.359	50.986	4007.176	72.988
14285	14668	384	33	0	33	21.858	71.527	5695.225	131.14
14671	15054	384	34	0	34	13.257	39.833	3269.127	65.012
15056	15439	384	35	0	35	16.379	73.652	4938.511	95.484
15441	15824	384	36	0	36	18.856	42.876	3887.039	68.498
15826	16209	384	37	0	37	27.025	57.14	4745.661	102.762
16212	16595	384	38	0	38	16.504	31.679	3728.147	84.744
16597	16980	384	39	0	39	4.918	35.636	3116.996	67.033
16982	17365	384	40	0	40	11.549	61.453	4536.105	96.027
17368	17751	384	41	0	41	10.516	36.211	3394.86	68.2
17753	18136	384	42	0	42	32.212	46.181	4363.245	79.564
18138	18521	384	43	0	43	15.634	43.903	3270.672	65.449
18524	18907	384	44	0	44	13.127	37.424	3740.844	77.098
18909	19292	384	45	0	45	27.36	54.56	4364.018	77.834
19294	19677	384	46	0	46	14.272	47.145	3492.396	64.975
19680	20063	384	47	0	47	21.751	68.555	4566.771	89.443
20065	20448	384	48	0	48	24.549	84.191	6725.156	133.324
20450	20833	384	49	0	49	17.851	53.253	4156.876	84.953
20836	21219	384	50	0	50	18.422	53.716	4964.183	105.342
21221	21604	384	51	0	51	27.589	59.15	5175.007	115.685
21606	21989	384	52	0	52	16.788	64.192	5351.831	118.898
21991	22374	384	53	0	53	10.499	41.779	3672.328	84.022
