Start_push	End_push	Pushes_duration	X	Y	Z	161Dy(Dy161Di)	162Dy(Dy162Di)	163Dy(Dy163Di)	164Dy(Dy164Di)
1570	1953	384	0	0	0	45.832	63.154	209.635	8197.152
1956	2339	384	1	0	1	30.844	48.393	186.078	5907.116
2341	2724	384	2	0	2	39.073	69.985	178.685	6779.76
2726	3109	384	3	0	3	73.905	180.269	539.081	15680.682
3111	3494	384	4	0	4	53.72	81.048	315.165	9458.86
3497	3880	384	5	0	5	74.964	113.25	378.887	11550.466
3882	4265	384	6	0	6	31.528	55.111	188.966	6758.497
4267	4650	384	7	0	7	25.849	46.191	178.909	5548.358
4653	5036	384	8	0	8	36.116	109.42	126.035	4909.396
5038	5421	384	9	0	9	18.363	29.928	108.979	3758.566
5423	5806	384	10	0	10	27.411	42.711	166.365	5545.19
5809	6192	384	11	0	11	19.587	16.479	95.535	2773.283
6194	6577	384	12	0	12	13.946	27.402	203.993	2858.764
6579	6962	384	13	0	13	34.111	54.974	173.851	5845.531
6965	7348	384	14	0	14	32.64	33.885	126.132	4318.206
7350	7733	384	15	0	15	58.254	114.867	330.014	11667.302
7735	8118	384	16	0	16	34.416	59.833	176.202	6178.358
8121	8504	384	17	0	17	54.511	92.784	251.935	9434.317
8506	8889	384	18	0	18	74.815	132.589	410.071	13289.02
8891	9274	384	19	0	19	54.821	114.324	366.67	13344.943
9276	9659	384	20	0	20	70.793	108.078	414.703	12800.194
9662	10045	384	21	0	21	45.677	80.212	302.191	11524.023
10047	10430	384	22	0	22	52.516	127.645	384.689	12740.123
10432	10815	384	23	0	23	56.581	121.785	430.633	13881.826
10818	11201	384	24	0	24	79.852	143.108	437.472	15808.188
11203	11586	384	25	0	25	54.26	89.969	353.653	12173.063
11588	11971	384	26	0	26	47.142	91.702	290.497	10961.101
11974	12357	384	27	0	27	49.554	86.031	339.149	10372.677
12359	12742	384	28	0	28	63.495	106.93	365.647	11930.51
12744	13127	384	29	0	29	57.372	119.078	350.847	12209.226
13130	13513	384	30	0	30	55.773	138.004	425.282	13920.288
13515	13898	384	31	0	31	37.25	77.387	333.815	11415.116
13900	14283	384	32	0	32	41.009	74.043	288.012	9454.411
14285	14668	384	33	0	33	67.388	136.185	438.277	14999.767
14671	15054	384	34	0	34	114.09	152.543	602.563	20416.67
15056	15439	384	35	0	35	64.981	98.565	307.031	11585.449
15441	15824	384	36	0	36	48.447	80.531	299.549	10530.869
15827	16210	384	37	0	37	59.548	104.5	408.966	14025.944
16212	16595	384	38	0	38	43.811	70.3	230.684	8635.675
16597	16980	384	39	0	39	13.123	43.308	191.257	6122.244
16983	17366	384	40	0	40	65.574	116.92	370.54	12441.596
17368	17751	384	41	0	41	81.643	104.731	434.113	15006.933
17753	18136	384	42	0	42	47.303	77.378	326.015	11592.571
18139	18522	384	43	0	43	127.155	206.692	657.471	23707.953
18524	18907	384	44	0	44	135.619	182.544	692.352	24853.789
18909	19292	384	45	0	45	111.84	170.437	677.232	22093.945
19294	19677	384	46	0	46	75.344	127.06	418.291	14170.905
19680	20063	384	47	0	47	40.608	118.335	344.88	12064.381
20065	20448	384	48	0	48	66.157	107.277	366.228	13103.519
20450	20833	384	49	0	49	44.8	80.286	296.88	10829.499
20836	21219	384	50	0	50	28.058	36.39	150.15	5117.771
21221	21604	384	51	0	51	39.137	59.941	182.999	6337.701
21606	21989	384	52	0	52	36.721	69.42	196.743	7466.829
21992	22375	384	53	0	53	18.438	47.281	130.294	4415.465
22377	22760	384	54	0	54	37.405	52.98	193.517	6844.479
22762	23145	384	55	0	55	79.659	136.553	423.928	14768.261
23148	23531	384	56	0	56	42.838	44.776	175.077	6530.665
23533	23916	384	57	0	57	37.453	56.646	229.913	7761.417
23918	24301	384	58	0	58	35.159	57.62	231.973	7556.699
24303	24686	384	59	0	59	74.857	178.713	576.48	14575.595
24689	25072	384	60	0	60	23.946	47.319	147.087	5482.11
25074	25457	384	61	0	61	46.961	65.005	173.656	6813.343
25459	25842	384	62	0	62	13.652	27.537	93.504	3595.684
25845	26228	384	63	0	63	33.747	57.225	208.827	7072.888
26230	26613	384	64	0	64	30.544	50.708	204.35	7253.305
26615	26998	384	65	0	65	38.555	66.248	243.647	8060.588
27001	27384	384	66	0	66	27.411	42.378	143.259	5182.32
27386	27769	384	67	0	67	41.004	56.748	217.439	7390.425
27771	28154	384	68	0	68	26.624	38.978	136.227	5167.414
28157	28540	384	69	0	69	22.956	34.367	109.595	3547.428
28542	28925	384	70	0	70	24.32	31.212	123.131	4459.188
28927	29310	384	71	0	71	41.538	45.524	185.836	6324.225
29312	29695	384	72	0	72	20.716	44.077	143.93	4834.045
29698	30081	384	73	0	73	41.432	73.098	220.591	7874.97
30083	30466	384	74	0	74	36.87	74.613	231.166	8900.924
30468	30851	384	75	0	75	30.48	67.967	217.048	7888.454
30854	31237	384	76	0	76	60.12	106.199	318.856	11793.055
31239	31622	384	77	0	77	80.007	122.683	500.238	16148.499
31624	32007	384	78	0	78	124.823	185.685	629.174	21174.227
32010	32393	384	79	0	79	104.396	218.404	692.876	23599.785
32395	32778	384	80	0	80	113.107	183.465	630.162	21154.57
32780	33163	384	81	0	81	42.773	83.194	256.442	9103.021
33166	33549	384	82	0	82	60.708	80.66	249.872	9828.608
33551	33934	384	83	0	83	12.93	32.32	123.649	4637.07
33936	34319	384	84	0	84	35.56	59.906	235.386	7861.918
34321	34704	384	85	0	85	59.831	113.598	354.029	12251.33
34707	35090	384	86	0	86	44.934	79.753	244.102	8423.938
35092	35475	384	87	0	87	47.357	112.415	385.415	14122.975
35477	35860	384	88	0	88	66.649	105.418	342.728	12443.656
35863	36246	384	89	0	89	85.156	110.011	349.554	12549.682
36248	36631	384	90	0	90	78.339	105.991	350.042	12456.699
36633	37016	384	91	0	91	81.264	138.527	395.764	14941.527
37019	37402	384	92	0	92	69.842	122.104	418.677	15790.923
37404	37787	384	93	0	93	50.372	88.182	310.806	9650.188
37789	38172	384	94	0	94	36.95	78.533	221.568	9022.582
38175	38558	384	95	0	95	17.657	29.025	88.604	3399.142
38560	38943	384	96	0	96	34.71	68	202.973	7209.216
38945	39328	384	97	0	97	25.165	47.466	150.456	4979.109
39331	39714	384	98	0	98	19.716	16.684	78.094	2266.984
39716	40099	384	99	0	99	19.919	12.78	61.006	1967.388
