Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,6,Neighbors,Cell,1,1,Cell,1,2
MeasureObjectNeighbors,6,Neighbors,Cell,1,1,Cell,1,3
MeasureObjectNeighbors,6,Neighbors,Cell,1,2,Cell,1,1
MeasureObjectNeighbors,6,Neighbors,Cell,1,2,Cell,1,3
MeasureObjectNeighbors,6,Neighbors,Cell,1,2,Cell,1,4
MeasureObjectNeighbors,6,Neighbors,Cell,1,3,Cell,1,1
MeasureObjectNeighbors,6,Neighbors,Cell,1,3,Cell,1,2
MeasureObjectNeighbors,6,Neighbors,Cell,1,3,Cell,1,4
MeasureObjectNeighbors,6,Neighbors,Cell,1,3,Cell,1,5
MeasureObjectNeighbors,6,Neighbors,Cell,1,3,Cell,1,6
MeasureObjectNeighbors,6,Neighbors,Cell,1,3,Cell,1,7
MeasureObjectNeighbors,6,Neighbors,Cell,1,4,Cell,1,2
MeasureObjectNeighbors,6,Neighbors,Cell,1,4,Cell,1,3
MeasureObjectNeighbors,6,Neighbors,Cell,1,4,Cell,1,5
MeasureObjectNeighbors,6,Neighbors,Cell,1,4,Cell,1,7
MeasureObjectNeighbors,6,Neighbors,Cell,1,5,Cell,1,3
MeasureObjectNeighbors,6,Neighbors,Cell,1,5,Cell,1,4
MeasureObjectNeighbors,6,Neighbors,Cell,1,5,Cell,1,6
MeasureObjectNeighbors,6,Neighbors,Cell,1,5,Cell,1,7
MeasureObjectNeighbors,6,Neighbors,Cell,1,6,Cell,1,3
MeasureObjectNeighbors,6,Neighbors,Cell,1,6,Cell,1,5
MeasureObjectNeighbors,6,Neighbors,Cell,1,6,Cell,1,7
MeasureObjectNeighbors,6,Neighbors,Cell,1,6,Cell,1,8
MeasureObjectNeighbors,6,Neighbors,Cell,1,7,Cell,1,3
MeasureObjectNeighbors,6,Neighbors,Cell,1,7,Cell,1,4
MeasureObjectNeighbors,6,Neighbors,Cell,1,7,Cell,1,5
MeasureObjectNeighbors,6,Neighbors,Cell,1,7,Cell,1,6
MeasureObjectNeighbors,6,Neighbors,Cell,1,7,Cell,1,8
MeasureObjectNeighbors,6,Neighbors,Cell,1,8,Cell,1,6
MeasureObjectNeighbors,6,Neighbors,Cell,1,8,Cell,1,7
MeasureObjectNeighbors,6,Neighbors,Cell,2,1,Cell,2,3
MeasureObjectNeighbors,6,Neighbors,Cell,2,1,Cell,2,5
MeasureObjectNeighbors,6,Neighbors,Cell,2,1,Cell,2,7
MeasureObjectNeighbors,6,Neighbors,Cell,2,2,Cell,2,4
MeasureObjectNeighbors,6,Neighbors,Cell,2,2,Cell,2,6
MeasureObjectNeighbors,6,Neighbors,Cell,2,3,Cell,2,1
MeasureObjectNeighbors,6,Neighbors,Cell,2,3,Cell,2,4
MeasureObjectNeighbors,6,Neighbors,Cell,2,3,Cell,2,5
MeasureObjectNeighbors,6,Neighbors,Cell,2,3,Cell,2,7
MeasureObjectNeighbors,6,Neighbors,Cell,2,3,Cell,2,8
MeasureObjectNeighbors,6,Neighbors,Cell,2,4,Cell,2,2
MeasureObjectNeighbors,6,Neighbors,Cell,2,4,Cell,2,3
MeasureObjectNeighbors,6,Neighbors,Cell,2,4,Cell,2,6
MeasureObjectNeighbors,6,Neighbors,Cell,2,4,Cell,2,7
MeasureObjectNeighbors,6,Neighbors,Cell,2,4,Cell,2,8
MeasureObjectNeighbors,6,Neighbors,Cell,2,4,Cell,2,9
MeasureObjectNeighbors,6,Neighbors,Cell,2,4,Cell,2,11
MeasureObjectNeighbors,6,Neighbors,Cell,2,5,Cell,2,1
MeasureObjectNeighbors,6,Neighbors,Cell,2,5,Cell,2,3
MeasureObjectNeighbors,6,Neighbors,Cell,2,5,Cell,2,7
MeasureObjectNeighbors,6,Neighbors,Cell,2,5,Cell,2,8
MeasureObjectNeighbors,6,Neighbors,Cell,2,6,Cell,2,2
MeasureObjectNeighbors,6,Neighbors,Cell,2,6,Cell,2,4
MeasureObjectNeighbors,6,Neighbors,Cell,2,6,Cell,2,7
