Object,Neighbor,Distance
1,2,1.0
1,4,1.0
1,5,1.0
2,1,1.0
2,3,1.0
2,4,1.0
2,6,1.0
3,2,1.0
3,6,1.0
3,7,1.0
4,1,1.0
4,2,1.0
4,5,1.0
4,8,1.0
5,1,1.0
5,4,1.0
5,8,1.0
6,2,1.0
6,3,1.0
6,7,1.0
6,9,1.0
6,10,1.0
7,3,1.0
7,6,1.0
7,9,1.0
7,10,3.605551275463989
7,13,3.605551275463989
8,4,1.0
8,5,1.0
8,11,1.0
8,12,1.0
9,6,1.0
9,7,1.0
9,10,1.0
9,13,1.0
9,17,1.0
9,18,2.0
10,6,1.0
10,7,3.605551275463989
10,9,1.0
10,12,1.0
10,14,1.0
10,15,1.0
10,17,1.0
11,8,1.0
11,12,1.0
11,16,1.0
12,8,1.0
12,10,1.0
12,11,1.0
12,14,3.605551275463989
12,15,1.0
12,16,1.0
13,7,3.605551275463989
13,9,1.0
13,17,1.0
13,18,1.0
13,19,1.0
13,21,1.0
14,10,1.0
14,12,3.605551275463989
14,15,1.0
14,17,1.0
14,20,3.1622776601683795
14,22,1.0
15,10,1.0
15,12,1.0
15,14,1.0
15,16,1.0
15,20,1.0
15,22,2.8284271247461903
16,11,1.0
16,12,1.0
16,15,1.0
16,20,1.0
17,9,1.0
17,10,1.0
17,13,1.0
17,14,1.0
17,18,1.0
17,22,1.0
18,9,2.0
18,13,1.0
18,17,1.0
18,19,1.0
18,22,1.0
18,23,1.0
18,25,1.0
18,28,2.0
19,13,1.0
19,18,1.0
19,21,1.0
19,22,3.0
19,23,1.0
19,25,2.23606797749979
19,28,3.1622776601683795
20,14,3.1622776601683795
20,15,1.0
20,16,1.0
21,13,1.0
21,19,1.0
21,23,1.0
21,26,2.0
22,14,1.0
22,15,2.8284271247461903
22,17,1.0
22,18,1.0
22,19,3.0
22,23,3.0
22,24,1.0
22,25,1.0
22,27,1.0
22,28,2.8284271247461903
23,18,1.0
23,19,1.0
23,21,1.0
23,22,3.0
23,25,1.0
23,26,1.0
23,28,1.0
24,22,1.0
24,25,1.0
24,27,1.0
24,30,2.0
25,18,1.0
25,19,2.23606797749979
25,22,1.0
25,23,1.0
25,24,1.0
25,27,1.0
25,28,1.0
25,30,1.0
26,21,2.0
26,23,1.0
26,28,1.0
26,29,1.0
27,22,1.0
27,24,1.0
27,25,1.0
27,30,1.0
28,18,2.0
28,19,3.1622776601683795
28,22,2.8284271247461903
28,23,1.0
28,25,1.0
28,26,1.0
28,29,1.0
28,30,1.0
29,26,1.0
29,28,1.0
29,30,1.0
30,24,2.0
30,25,1.0
30,27,1.0
30,28,1.0
30,29,1.0
