Start_push	End_push	Pushes_duration	X	Y	Z	107Ag(Ag107Di)	Cytoker_651((3356))Pr141(Pr141Di)	Laminin_681((851))Sm147(Sm147Di)	YBX1_2987((3532))Eu153(Eu153Di)	H3K27Ac_1977((2242))Yb172(Yb172Di)
1708	2091	384	0	0	0	0.000	0.000	0.000	0.000	0.000
2094	2477	384	1	0	1	0.000	0.000	0.000	0.000	0.000
2479	2862	384	2	0	2	0.000	0.000	0.000	0.000	0.000
2864	3247	384	3	0	3	0.000	0.000	0.000	0.000	0.000
3249	3632	384	4	0	4	0.000	0.000	0.000	0.000	0.000
3635	4018	384	5	0	5	0.000	0.000	0.000	0.000	0.000
4020	4403	384	6	0	6	0.000	0.000	0.000	0.000	0.000
4405	4788	384	7	0	7	0.000	0.000	0.000	0.000	0.000
4791	5174	384	8	0	8	0.000	0.000	0.000	0.000	0.000
5176	5559	384	9	0	9	0.000	0.000	0.000	0.000	0.000
5561	5944	384	10	0	10	0.000	1.000	0.000	0.000	0.000
5947	6330	384	11	0	11	0.000	0.000	0.000	0.000	0.000
6332	6715	384	12	0	12	0.000	0.000	0.000	0.000	0.000
6717	7100	384	13	0	13	0.000	0.000	0.000	0.000	0.000
7103	7486	384	14	0	14	0.000	0.000	0.000	0.000	0.000
7488	7871	384	15	0	15	0.000	0.000	0.000	0.000	0.000
7873	8256	384	16	0	16	0.000	0.000	0.000	0.000	0.000
8259	8642	384	17	0	17	0.000	0.000	0.000	1.000	0.000
8644	9027	384	18	0	18	0.000	0.000	0.000	0.000	0.000
9029	9412	384	19	0	19	0.000	0.000	0.000	0.000	0.000
9415	9798	384	20	0	20	0.000	0.000	0.000	0.000	0.000
9800	10183	384	21	0	21	0.000	0.000	2.427	0.000	0.000
10185	10568	384	22	0	22	0.000	0.000	0.000	0.000	0.000
10571	10954	384	23	0	23	0.000	0.000	0.000	0.000	0.000
10956	11339	384	24	0	24	0.000	0.000	0.000	0.000	0.000
11341	11724	384	25	0	25	0.000	0.000	0.000	0.000	0.000
11726	12109	384	26	0	26	0.000	0.000	0.000	0.000	0.000
12112	12495	384	27	0	27	0.000	0.000	0.000	0.000	0.000
12497	12880	384	28	0	28	0.000	0.000	0.000	0.000	0.000
12882	13265	384	29	0	29	0.000	0.000	0.000	0.000	0.000
13268	13651	384	30	0	30	0.000	0.000	0.000	0.000	0.000
13653	14036	384	31	0	31	0.000	0.000	0.000	0.000	0.000
14038	14421	384	32	0	32	0.000	0.000	0.000	0.000	0.000
14424	14807	384	33	0	33	0.000	0.000	0.000	0.000	0.000
14809	15192	384	34	0	34	0.000	0.000	0.000	0.000	0.000
15194	15577	384	35	0	35	0.000	0.000	0.000	0.000	0.000
15580	15963	384	36	0	36	0.000	0.000	0.000	0.000	0.000
15965	16348	384	37	0	37	0.000	0.000	0.000	0.000	0.000
16350	16733	384	38	0	38	0.000	0.000	0.000	0.000	0.000
16736	17119	384	39	0	39	0.000	1.000	0.000	0.000	0.000
17121	17504	384	40	0	40	1.000	0.000	0.000	0.000	0.000
17506	17889	384	41	0	41	0.000	1.000	0.000	0.000	0.000
17892	18275	384	42	0	42	0.000	0.000	0.000	0.000	0.000
18277	18660	384	43	0	43	0.000	0.000	0.000	0.000	0.000
18662	19045	384	44	0	44	0.000	0.000	0.000	0.000	0.000
19048	19431	384	45	0	45	0.000	0.000	0.000	0.000	0.000
19433	19816	384	46	0	46	0.000	0.000	0.000	0.000	0.000
19818	20201	384	47	0	47	0.000	0.000	0.000	0.000	0.000
20203	20586	384	48	0	48	0.000	0.000	0.000	0.000	0.000
20589	20972	384	49	0	49	0.000	0.000	0.000	1.000	0.000
20974	21357	384	50	0	50	0.000	0.000	0.000	0.000	0.000
21359	21742	384	51	0	51	0.000	0.000	0.000	0.000	0.000
21745	22128	384	52	0	52	0.000	0.000	0.000	0.000	0.000
22130	22513	384	53	0	53	0.000	0.000	0.000	0.000	0.000
22515	22898	384	54	0	54	0.000	0.000	0.000	0.000	0.000
22901	23284	384	55	0	55	0.000	0.000	0.000	0.000	0.000
23286	23669	384	56	0	56	0.000	1.000	0.000	0.000	0.000
23671	24054	384	57	0	57	1.000	0.000	0.000	0.000	0.000
24057	24440	384	58	0	58	0.000	0.000	0.000	0.000	0.000
24442	24825	384	59	0	59	0.000	0.000	0.000	0.000	0.000
24827	25210	384	60	0	60	0.000	0.000	0.000	0.000	0.000
25213	25596	384	61	0	61	0.000	0.000	0.000	0.000	0.000
25598	25981	384	62	0	62	0.000	0.000	0.000	0.000	0.000
25983	26366	384	63	0	63	0.000	0.000	0.000	0.000	0.000
26369	26752	384	64	0	64	0.000	0.000	0.000	0.000	0.000
26754	27137	384	65	0	65	0.000	0.000	0.000	0.000	0.000
27139	27522	384	66	0	66	0.000	0.000	0.000	0.000	0.000
27525	27908	384	67	0	67	0.000	0.000	0.000	0.000	0.000
27910	28293	384	68	0	68	0.000	0.000	0.000	0.000	0.000
28295	28678	384	69	0	69	0.000	0.000	0.000	0.000	0.000
28680	29063	384	70	0	70	0.000	0.000	0.000	0.000	0.000
29066	29449	384	71	0	71	0.000	0.000	0.000	0.000	0.000
29451	29834	384	72	0	72	0.000	0.000	0.000	0.000	0.000
29836	30219	384	73	0	73	0.000	0.000	0.000	0.000	0.000
30222	30605	384	74	0	74	0.000	0.000	0.000	0.000	0.000
30607	30990	384	75	0	75	0.000	0.000	0.000	0.000	0.000
30992	31375	384	76	0	76	0.000	0.000	0.000	0.000	0.000
31378	31761	384	77	0	77	0.000	0.000	0.000	0.000	0.000
31763	32146	384	78	0	78	0.000	0.000	0.000	0.000	0.000
32148	32531	384	79	0	79	0.000	0.000	0.000	0.000	0.000
32534	32917	384	80	0	80	0.000	0.000	0.000	0.000	0.000
32919	33302	384	81	0	81	0.000	0.000	0.000	0.000	0.000
33304	33687	384	82	0	82	1.000	0.000	0.000	0.000	0.000
33690	34073	384	83	0	83	0.000	0.000	0.000	0.000	0.000
34075	34458	384	84	0	84	0.000	0.000	0.000	0.000	0.000
34460	34843	384	85	0	85	0.000	0.000	0.000	0.000	0.000
34846	35229	384	86	0	86	0.000	0.000	0.000	0.000	0.000
35231	35614	384	87	0	87	0.000	0.000	0.000	0.000	0.000
35616	35999	384	88	0	88	0.000	0.000	0.000	0.000	0.000
36002	36385	384	89	0	89	0.000	0.000	0.000	0.000	0.000
36387	36770	384	90	0	90	0.000	1.000	0.000	0.000	0.000
36772	37155	384	91	0	91	0.000	0.000	0.000	0.000	0.000
37158	37541	384	92	0	92	0.000	0.838	0.000	0.000	0.000
55692	56075	384	0	1	93	0.000	0.000	0.000	0.000	0.000
56077	56460	384	1	1	94	0.000	0.000	0.000	0.000	0.000
56462	56845	384	2	1	95	0.000	0.000	0.000	0.000	0.000
56847	57230	384	3	1	96	0.000	0.000	0.000	0.000	0.000
57233	57616	384	4	1	97	0.000	0.000	0.000	0.000	0.000
